0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:10 +0700] "GET /HV_SoftwarePackage/template/user/css/aos.css.map HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:10 +0700] "GET /HV_SoftwarePackage/template/user/js/jquery.easing.1.3.js HTTP/1.1" 200 8315
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:10 +0700] "GET /HV_SoftwarePackage/template/user/js/jquery.waypoints.min.js HTTP/1.1" 200 8841
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:10 +0700] "GET /HV_SoftwarePackage/template/user/fonts/open-iconic/open-iconic.woff HTTP/1.1" 200 14984
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:10 +0700] "GET /HV_SoftwarePackage/template/user/js/owl.carousel.min.js HTTP/1.1" 200 43243
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:10 +0700] "GET /HV_SoftwarePackage/template/user/js/jquery.animateNumber.min.js HTTP/1.1" 200 1399
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:10 +0700] "GET /HV_SoftwarePackage/template/user/js/aos.js HTTP/1.1" 200 14245
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:10 +0700] "GET /HV_SoftwarePackage/template/user/js/bootstrap-datepicker.js HTTP/1.1" 200 48490
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:10 +0700] "GET /HV_SoftwarePackage/template/user/js/jquery.stellar.min.js HTTP/1.1" 200 12598
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:10 +0700] "GET /HV_SoftwarePackage/template/user/js/jquery.timepicker.min.js HTTP/1.1" 200 15771
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:10 +0700] "GET /HV_SoftwarePackage/template/user/js/scrollax.min.js HTTP/1.1" 200 7478
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:10 +0700] "GET /HV_SoftwarePackage/template/user/js/jquery.magnific-popup.min.js HTTP/1.1" 200 20219
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:10 +0700] "GET /HV_SoftwarePackage/template/user/js/main.js HTTP/1.1" 200 6566
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:10 +0700] "GET /HV_SoftwarePackage/user/js/user.js HTTP/1.1" 200 8408
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:10 +0700] "GET /HV_SoftwarePackage/user/media/logo.jpg HTTP/1.1" 200 2318603
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:10 +0700] "GET /HV_SoftwarePackage/template/admin/assets/img/carousel-4.jpg HTTP/1.1" 200 191268
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:10 +0700] "GET /HV_SoftwarePackage/template/user/images/image_1.jpg HTTP/1.1" 200 122977
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:10 +0700] "GET /HV_SoftwarePackage/template/user/images/image_2.jpg HTTP/1.1" 200 135051
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:11 +0700] "GET /HV_SoftwarePackage/template/user/fonts/icomoon/icomoon.ttf?6tt51o HTTP/1.1" 200 307168
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:11 +0700] "GET /HV_SoftwarePackage/template/user/js/popper.min.js.map HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:11 +0700] "GET /HV_SoftwarePackage/template/user/js/bootstrap.min.js.map HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:11 +0700] "GET /HV_SoftwarePackage/template/user/js/aos.js.map HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:11 +0700] "GET /HV_SoftwarePackage/user/jsp/contact.jsp HTTP/1.1" 200 10731
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:24 +0700] "GET /HV_SoftwarePackage/user/jsp/contact.jsp HTTP/1.1" 200 10731
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:24 +0700] "GET /HV_SoftwarePackage/template/user/css/aos.css.map HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:25 +0700] "GET /HV_SoftwarePackage/template/user/js/popper.min.js.map HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:25 +0700] "GET /HV_SoftwarePackage/template/user/js/bootstrap.min.js.map HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:25 +0700] "GET /HV_SoftwarePackage/template/user/js/aos.js.map HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:04:26 +0700] "GET /HV_SoftwarePackage/user/jsp/contact.jsp HTTP/1.1" 200 10731
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:12 +0700] "GET /HV_SoftwarePackage/user/jsp/contact.jsp HTTP/1.1" 200 10622
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:12 +0700] "GET /HV_SoftwarePackage/template/user/css/open-iconic-bootstrap.min.css HTTP/1.1" 200 9467
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:12 +0700] "GET /HV_SoftwarePackage/template/user/css/owl.carousel.min.css HTTP/1.1" 200 3445
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:12 +0700] "GET /HV_SoftwarePackage/template/user/css/owl.theme.default.min.css HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:12 +0700] "GET /HV_SoftwarePackage/template/user/css/animate.css HTTP/1.1" 200 77017
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:12 +0700] "GET /HV_SoftwarePackage/template/user/css/magnific-popup.css HTTP/1.1" 200 7300
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:12 +0700] "GET /HV_SoftwarePackage/template/user/css/aos.css HTTP/1.1" 200 25984
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:12 +0700] "GET /HV_SoftwarePackage/template/user/css/jquery.timepicker.css HTTP/1.1" 200 1660
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:12 +0700] "GET /HV_SoftwarePackage/template/user/css/flaticon.css HTTP/1.1" 200 1262
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:12 +0700] "GET /HV_SoftwarePackage/template/user/css/bootstrap-datepicker.css HTTP/1.1" 200 18456
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:12 +0700] "GET /HV_SoftwarePackage/template/user/css/icomoon.css HTTP/1.1" 200 84794
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:12 +0700] "GET /HV_SoftwarePackage/template/user/css/ionicons.min.css HTTP/1.1" 200 46826
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:12 +0700] "GET /HV_SoftwarePackage/user/css/user.css HTTP/1.1" 200 4444
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:12 +0700] "GET /HV_SoftwarePackage/template/user/css/style.css HTTP/1.1" 200 254983
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:12 +0700] "GET /HV_SoftwarePackage/template/admin/assets/img/carousel-4.jpg HTTP/1.1" 200 191268
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:12 +0700] "GET /HV_SoftwarePackage/user/media/logo.jpg HTTP/1.1" 200 2318603
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:12 +0700] "GET /HV_SoftwarePackage/template/user/js/jquery.min.js HTTP/1.1" 200 278290
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:12 +0700] "GET /HV_SoftwarePackage/template/user/js/jquery-migrate-3.0.1.min.js HTTP/1.1" 200 11635
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:12 +0700] "GET /HV_SoftwarePackage/template/user/js/popper.min.js HTTP/1.1" 200 19036
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:12 +0700] "GET /HV_SoftwarePackage/template/user/js/bootstrap.min.js HTTP/1.1" 200 50682
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:12 +0700] "GET /HV_SoftwarePackage/template/user/js/jquery.easing.1.3.js HTTP/1.1" 200 8315
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:12 +0700] "GET /HV_SoftwarePackage/template/user/js/jquery.waypoints.min.js HTTP/1.1" 200 8841
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:12 +0700] "GET /HV_SoftwarePackage/template/user/js/jquery.stellar.min.js HTTP/1.1" 200 12598
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:13 +0700] "GET /HV_SoftwarePackage/template/user/js/aos.js HTTP/1.1" 200 14245
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:13 +0700] "GET /HV_SoftwarePackage/template/user/js/jquery.animateNumber.min.js HTTP/1.1" 200 1399
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:13 +0700] "GET /HV_SoftwarePackage/template/user/js/owl.carousel.min.js HTTP/1.1" 200 43243
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:13 +0700] "GET /HV_SoftwarePackage/template/user/js/jquery.magnific-popup.min.js HTTP/1.1" 200 20219
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:13 +0700] "GET /HV_SoftwarePackage/template/user/js/jquery.timepicker.min.js HTTP/1.1" 200 15771
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:13 +0700] "GET /HV_SoftwarePackage/template/user/js/main.js HTTP/1.1" 200 6566
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:13 +0700] "GET /HV_SoftwarePackage/user/js/user.js HTTP/1.1" 200 8408
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:13 +0700] "GET /HV_SoftwarePackage/template/user/js/bootstrap-datepicker.js HTTP/1.1" 200 48490
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:13 +0700] "GET /HV_SoftwarePackage/template/user/js/scrollax.min.js HTTP/1.1" 200 7478
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:13 +0700] "GET /HV_SoftwarePackage/template/user/images/image_1.jpg HTTP/1.1" 200 122977
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:13 +0700] "GET /HV_SoftwarePackage/template/user/images/image_2.jpg HTTP/1.1" 200 135051
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:13 +0700] "GET /HV_SoftwarePackage/template/user/fonts/icomoon/icomoon.ttf?6tt51o HTTP/1.1" 200 307168
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:13 +0700] "GET /HV_SoftwarePackage/template/user/css/aos.css.map HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:13 +0700] "GET /HV_SoftwarePackage/template/user/js/popper.min.js.map HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:13 +0700] "GET /HV_SoftwarePackage/template/user/js/bootstrap.min.js.map HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:14 +0700] "GET /HV_SoftwarePackage/template/user/js/aos.js.map HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:14 +0700] "GET /HV_SoftwarePackage/user/jsp/contact.jsp HTTP/1.1" 200 10622
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:17 +0700] "GET /HV_SoftwarePackage/user/jsp/contact.jsp HTTP/1.1" 200 10622
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:17 +0700] "GET /HV_SoftwarePackage/template/user/css/owl.carousel.min.css HTTP/1.1" 200 3445
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:17 +0700] "GET /HV_SoftwarePackage/template/user/css/animate.css HTTP/1.1" 200 77017
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:17 +0700] "GET /HV_SoftwarePackage/template/user/css/owl.theme.default.min.css HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [08/Mar/2023:08:05:17 +0700] "GET /HV_SoftwarePackage/template/user/css/magnific-popup.css HTTP/1.1" 200 7300
